lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id,coordenadas
97,santa maría ozolotepec,,16.13302,-96.37088,pueblo,,"(16.13302, -96.37088)"
98,"tepachula, soconusco",,None,None,ciudad,,"(None, None)"
99,portugal,,21.4075,-101.84111,region,,"(21.4075, -101.84111)"
100,otumba,,19.7,-98.75,ciudad,,"(19.7, -98.75)"
101,san hipólito martir,,None,None,provincia,,"(None, None)"
102,soconusco,,15.31559444,-92.72639167,region,,"(15.31559444, -92.72639167)"
103,"santamaria, castilla",,-3.59506,-71.73675,ciudad,,"(-3.59506, -71.73675)"
104,sinaloa y sonora,,None,None,provincia,,"(None, None)"
105,"culiaca, reino de la nueva galicia",,None,None,villa,,"(None, None)"
106,tanechi,,None,None,pueblo,,"(None, None)"
107,santo domingo,,16.31841,-95.24783,isla,,"(16.31841, -95.24783)"
108,angola,,17.79222,-91.26972,region,,"(17.79222, -91.26972)"
109,"san salvador de arroniz, españa",,None,None,villa,,"(None, None)"
110,yanhuitlán,,17.53283,-97.35332,ciudad,,"(17.53283, -97.35332)"
111,autlán,,19.76822,-104.36664,villa,,"(19.76822, -104.36664)"
112,hostotipaquillo,,21.066666666,-104.066666666,real,,"(21.066666666, -104.066666666)"
113,guinea,,20.00472,-96.62167,region,,"(20.00472, -96.62167)"
114,zacatecas,,22.771666666,-102.575277777,ciudad,,"(22.771666666, -102.575277777)"
115,la rinconada,,15.59333,-92.26806,pueblo,,"(15.59333, -92.26806)"
117,áfrica occidental,,18.31281,-4.83398,region,,"(18.31281, -4.83398)"
118,querétaro,,20.588055555,-100.388055555,ciudad,,"(20.588055555, -100.388055555)"
119,fresnillo,,23.171944444,-102.860833333,real,,"(23.171944444, -102.860833333)"
120,cocula,,20.38606,-103.82602,villa,,"(20.38606, -103.82602)"
121,ocotitlán,,19.227,-98.8575,real,,"(19.227, -98.8575)"
122,amilpas,,17.10188,-96.76228,pueblo,,"(17.10188, -96.76228)"
123,ahualulco,,20.69928,-103.95564,villa,,"(20.69928, -103.95564)"
124,cuidad real de chiapa,,None,None,ciudad,,"(None, None)"
125,ometepeque,,None,None,region,,"(None, None)"
126,jalacingo,,19.77299,-97.28618,ciudad,,"(19.77299, -97.28618)"
127,santo tomé,,16.85496,-96.65944,isla,,"(16.85496, -96.65944)"
128,provincia de ávalos,,22.76389,-81.19806,provincia,,"(22.76389, -81.19806)"
129,jalostotitlán,,21.18912,-102.48234,villa,,"(21.18912, -102.48234)"
130,amatlán del río de alvarado,,None,None,puerto,,"(None, None)"
131,mozambique,,19.059444444,-96.253611111,region,,"(19.059444444, -96.253611111)"
132,india de portugal,,38.69425,-9.21211,region,,"(38.69425, -9.21211)"
133,tepic,,21.50951,-104.89569,villa,,"(21.50951, -104.89569)"
134,pinotepa del rey,,None,None,ciudad,,"(None, None)"
135,isatlán,,None,None,real,,"(None, None)"
136,porto rico,,16.7159,-93.93421,ciudad,,"(16.7159, -93.93421)"
137,perú,,16.09833,-92.93611,gobernacion,,"(16.09833, -92.93611)"
138,jora,,27.16493,-107.72157,real,,"(27.16493, -107.72157)"
139,celaya,,20.52353,-100.8157,villa,,"(20.52353, -100.8157)"
141,xalpantepeque,,None,None,pueblo,,"(None, None)"
142,san jacinto,,17.10188,-96.76228,pueblo,,"(17.10188, -96.76228)"
143,salamanca,,20.57196,-101.19154,villa,,"(20.57196, -101.19154)"
144,san felipe y santiago de sinaloa,,None,None,villa,,"(None, None)"
