lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id
185,Yepes (España),,,,pueblo,
186,Mezquitán,,,,real,
187,Ahuatlán,,,,pueblo,
188,Cuernavaca,,18.924200,99.221600,villa,
189,Chapala,,,,villa,
190,Congo,,,,region,
191,Tierra Cafre,,,,region,
192,Acaponeta,,,,villa,
193,San Marcial,,,,real,
194,Pátzcuaro,,,,villa,
195,Villa de los Lagos,,,,villa,
196,"Sonsonate, El Salvador",,,,villa,
197,Malinaltepeque,,,,region,
198,Atlahuaca,,,,region,
199,Yolox,,,,pueblo,
200,"Santamaria, reino de Castilla",,,,puerto,
201,"Apoala, jurisdicción de Yanhuitlan",,,,pueblo,
202,Peñoles,,,,region,
203,Jamiltepec,,,,pueblo,
204,Jalatlaco,,,,pueblo,
205,Cuicatlan,,,,region,
206,Tulancingo,,,,ciudad,
207,Chimaltitán,,,,real,
208,San Luis Potosí,,,,ciudad,
209,Totomehuacan,,,,pueblo,
210,Motaje,,,,real,
211,La Magdalena,,,,real,
212,Sombrerete,,,,real,
213,"Pinula, Guatemala",,,,pueblo,
214,Guaxolotitlan,,,,region,
215,Teotitlan,,,,region,
216,Tequila,,,,villa,
217,Montegrande,,,,real,
218,Amajac,,,,real,
219,Yanhuitlán,,,,pueblo,
220,Tlaxiaco,,,,pueblo,
221,Petlalcingo,,,,pueblo,
222,Tonalá,,,,pueblo,
223,Jicayán,,,,pueblo,
224,"Ysquinta, Guatemala",,,,pueblo,
225,"Mapastepeque, Soconusco",,,,pueblo,
226,Tequepexpan,,,,villa,
227,"Córdoba, Veracruz",,,,pueblo,
228,Santo Domingo,,,,pueblo,
229,Santiago,,,,pueblo,
230,Magdalena Apasco,,,,pueblo,
231,San Pedro Guamesula,,,,pueblo,
232,Chiapa de la Real,,,,pueblo,
233,Durango,,,,villa,
234,San José del Parral,,,,real,
235,Minas de la Resurrección,,,,real,
236,Sayula,,,,villa,
237,Mascota,,,,pueblo,
238,Poncitlán,,,,villa,
239,Teosaqualco,,,,pueblo,
240,Michoacán,,,,ciudad,
241,Hacienda de Buena Vista,,,,region,
242,Tlajomulco,,,,villa,
243,Tlazazalca,,,,villa,
244,Nuevo León,,,,gobernacion,
245,San Cristobal de la Habana,,,,ciudad,
246,Cuautitlan,,,,region,
247,Jolapa,,,,real,
248,San Miguel en las provincias de Guatemala,,,,pueblo,
249,Ciudad de Guatemala,,,,ciudad,
250,Matamba,,,,region,
251,León,,,,villa,
252,Huehuetoca,,,,villa,
253,Mazapil,,,,real,
254,Santa María de los Lagos,,,,villa,
255,San Pedro Analco,,,,real,
256,Tlaltenango,,,,villa,
257,Iztapalapa,,,,villa,
258,Atemajac,,,,villa,
259,Jala,,,,villa,
260,Puerto Rico,,,,isla,
261,Campeche,,,,ciudad,
262,San Luis,,,,ciudad,
264,Minas de Sultepeque,,,,region,
265,Caramandi,,,,region,
266,Xofa,,,,region,
267,Texcoco,,,,ciudad,
268,Nación Berberisca,,,,region,
269,Banol,,,,region,
270,tierra Arda,,,,region,
271,Xamarca,,,,ciudad,
272,tierra Joloffe,,,,region,
273,Extramadura,,,,region,
274,España,,,,region,
275,Carabali,,,,ciudad,
276,Durango,,,,ciudad,
277,Aguascalientes,,,,villa,
278,Tepezalá,,,,real,
279,Zamora,,,,villa,
280,Teocaltiche,,,,pueblo,
281,Valle de Caxitlan,,,,provincia,
282,China,,,,pais,
283,Zibu,,,,ciudad,
284,Zibu,,,,ciudad,
285,Zibu,,,,ciudad,
286,Zibu,,,,ciudad,
287,Zibu,,,,ciudad,
288,India,,,,pais,
289,India,,,,pais,
290,minas de Guanajuato,,,,villa,
291,Los Angeles,,,,ciudad,
292,Guanajuato,,,,region,
293,Juchipila,,,,ciudad,
294,Aguacatitlan,,,,pueblo,
295,Nochistlán,,,,ciudad,
296,Villa de Jeréz,,,,villa,
297,Chametla,,,,real,
298,Ameca,,,,villa,
299,Culiacán,,,,villa,
300,Zapotlán,,,,pueblo,
301,Valle de Aguacatitlan,,,,pueblo,
302,Jicotlan,,,,pueblo,
303,Jurisdicción de Nieves,,,,region,
304,Real de Charcas,,,,villa,
305,Zayula,,,,pueblo,
306,"Real de Minas de San Juan de Tepezalá, Jurisdicción de Aguascalientes",,,,real,
307,de San Antonio Tuscacuesco,,,,pueblo,
308,Tangancícuaro,,,,villa,
309,Irapuato,,,,villa,
310,Zapopan,,,,villa,
311,Ajijic,,,,villa,
312,Jiquilpan,,,,villa,
313,Sonora,,,,region,
314,Tacámbaro,,,,villa,
315,Jurisdicción de Colimilla,,,,region,
316,Villa Purificación,,,,villa,
317,Jalpa,,,,real,
318,"Rancho de los Molinos, Jurisdicción de Aguascalientes",,,,region,
319,Jurisdicción de la Barca,,,,region,
320,Villa de Sierra de Pinos y Charcas,,,,villa,
321,Minas del Rosario,,,,real,
322,Tacotlán,,,,villa,
323,Sentispac,,,,villa,
324,Jacona,,,,pueblo,
325,Hacienda de San Andrés,,,,region,
326,Hacienda de San Andrés,,,,region,
327,Jocotlán,,,,pueblo,
328,Juanacatlán,,,,villa,
329,Salvatierra,,,,ciudad,
